FishDepth,Sdens,Wdens,SsmoothDens,WsmoothDens
-90,5.02400404203671e-05,5.51059308600171e-05,3.28587622571845e-05,1.95350314535097e-05
-91,3.49628496505134e-06,9.82440254885467e-06,3.04023193312951e-05,1.88912576967529e-05
-92,1.99623589799616e-05,7.86664813136266e-05,2.81904834276949e-05,1.7444936823845e-05
-93,2.61973041581241e-05,0,2.6128911633264e-05,1.51579781930799e-05
-94,5.25237498783056e-05,0,2.38911136703034e-05,1.23947669584145e-05
-95,2.72032785973348e-05,0,2.13057057295294e-05,9.4616444578272e-06
-96,6.60947969380737e-06,0,1.82991434654104e-05,6.58777371401079e-06
-97,3.05535353408986e-05,0,1.4951232228854e-05,3.85037194080537e-06
-98,9.35312989606362e-06,0,1.13401574384795e-05,1.24189678634619e-06
-99,0,0,7.54216586454374e-06,-1.26416786234397e-06
-100,0,0,3.66837086401168e-06,-3.72034184163442e-06
